row_number,strt_lon,strt_lat,end_lon,end_lat,m,km,minutes,hours
4866,-71.056067,42.362811,-71.10042,42.363562,5081,5.081,20.55,0.3425
4867,-71.10042,42.363562,-71.06514,42.361285,3167,3.167,12.35,0.205833333
4868,-71.119945,42.379011,-71.05896,42.354594,6805,6.805,25.05,0.4175
4869,-71.116205,42.332799,-71.13802,42.361667,4454,4.454,18.5,0.308333333
4870,-71.095319,42.379637,-71.124565,42.363732,3788,3.788,18.08333333,0.301388889
4871,-71.105884,42.350075,-71.062679,42.352409,4855,4.855,17.53333333,0.292222222
4872,-71.085918,42.343864,-71.096413,42.386428,7452,7.452,29.86666667,0.497777778
4873,-71.119945,42.379011,-71.089886,42.350851,4846,4.846,18.15,0.3025
4874,-71.123338,42.341598,-71.099855,42.346171,2148,2.148,8.783333333,0.146388889
4875,-71.07278,42.355596,-71.119945,42.379011,7542,7.542,26.1,0.435
4876,-71.106541,42.378551,-71.114214,42.366621,2566,2.566,9.616666667,0.160277778
4877,-71.123338,42.341598,-71.120886,42.373231,4509,4.509,20.33333333,0.338888889
4878,-71.114214,42.366621,-71.106541,42.378551,2245,2.245,9.216666667,0.153611111
4879,-71.076847,42.341332,-71.10042,42.363562,3663,3.663,17.46666667,0.291111111
4880,-71.10042,42.363562,-71.090188,42.362429,1055,1.055,3.5,0.058333333
4881,-71.118579,42.373268,-71.105495,42.366426,1451,1.451,4.95,0.0825
4882,-71.116174,42.351313,-71.07403,42.334057,4392,4.392,18.68333333,0.311388889
4883,-71.119581,42.365074,-71.123338,42.341598,4040,4.04,14.58333333,0.243055556
4884,-71.096413,42.386428,-71.063348,42.354979,6521,6.521,26.18333333,0.436388889
4885,-71.10042,42.363562,-71.051601,42.35977,4698,4.698,19.83333333,0.330555556
4886,-71.056868,42.360583,-71.10042,42.363562,4974,4.974,19.85,0.330833333
4887,-71.109927,42.340299,-71.123338,42.341598,1452,1.452,7.283333333,0.121388889
4888,-71.060868,42.366231,-71.105495,42.366426,5215,5.215,19.85,0.330833333
4889,-71.070378,42.352096,-71.10042,42.363562,4202,4.202,15.45,0.2575
4890,-71.106541,42.378551,-71.076472,42.366981,3612,3.612,12.78333333,0.213055556
4891,-71.105495,42.366426,-71.123831,42.352261,3548,3.548,13.85,0.230833333
4892,-71.094734,42.331567,-71.057007,42.330825,4007,4.007,17.9,0.298333333
4893,-71.045461,42.351821,-71.10042,42.363562,6394,6.394,26.23333333,0.437222222
4894,-71.090188,42.362429,-71.059364,42.359677,2650,2.65,10.93333333,0.182222222
4895,-71.057007,42.330825,-71.088496,42.335911,3107,3.107,14.41666667,0.240277778
4896,-71.096831,42.349046,-71.121851,42.372244,4554,4.554,16.1,0.268333333
4897,-71.123338,42.341598,-71.056067,42.362811,8446,8.446,34.3,0.571666667
4898,-71.123338,42.341598,-71.116174,42.351313,1509,1.509,8.483333333,0.141388889
